Index,Word List,N_Ltr,N_PG,NMorph,NSyll,POS,Occurrences,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,BiphonP_Un,PLD20,Sem_N_D,Phonographic_N,PG_Prob_Mean,PG_Prob_Min,GP_Prob_Mean,GP_Prob_Min,GP_Freq_Mean,GP_Freq_Min,P_Freq_Mean,P_Freq_Min,G_Freq_Mean,G_Freq_Min,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14,PG15,OR_Prob_Mean,OR_Prob_Min,OR_Freq_Mean,OR_Freq_Min,Onset1,Rime1,Onset2,Rime2,Onset3,Rime3,Onset4,Rime4,Onset5,Rime5,Onset6,Rime6
7070,shape,5,3,1,1,NN|VB,1,3.188365926,1,1.6,1,1.15,0.6508128,5,0.7866,0.5069,0.858733333333333,0.5762,2.4079,2.2504,2.52873333333333,2.3139,2.48753333333333,2.2504,ʃ+sh,eɪ+a_e,p+p,,,,,,,,,,,,,1,1,1.68045,1.1461,ʃ+sh,eɪp+a_ep,,,,,,,,,,
1632,cocoon,6,5,1,2,NN|VB,1,1.763427994,1,2.65,1,2.05,0.36562347,0,0.59346,0.2274,0.6748,0.2792,2.66662,2.1399,2.94656,2.4997,2.87718,2.3655,k+c,ə+o,k+c,u+oo,n+n,,,,,,,,,,,0.6786,0.273,2.349675,1.415,k+c,ə+o,k+c,un+oon,,,,,,,,
5395,notion,6,5,1,2,NN,1,2.527629901,1,1.75,1,1.7,0.6177997,4,0.69384,0.2386,0.71324,0.269,2.63304,2.382,2.83872,2.4456,2.84238,2.382,n+n,oʊ+o,ʃ+ti,ə+o,n+n,,,,,,,,,,,0.783475,0.2722,2.48775,2.3802,n+n,oʊ+o,ʃ+ti,ən+on,,,,,,,,
902,borough,7,4,1,2,NN,1,1.785329835,1,2.6,1,1.75,0.58756888,0,0.530025,0.0269,0.6834,0.1336,2.314175,0.8451,2.926275,2.3502,2.5814,1.0414,b+b,ɚ+o,ɹ+r,oʊ+ough,,,,,,,,,,,,0.5592,0.3247,1.8574,0.8451,b+b,ɚɹ+or,,oʊ+ough,,,,,,,,
6819,saturday,8,7,2,3,NN,1,3.384532615,1,3.3,1,2.4,0.62884933,0,0.785414285714286,0.0806,0.768442857142857,0.1542,2.73622857142857,1.9085,2.93231428571429,2.0607,2.92398571428571,1.9243,s+s,æ+a,t+t,ɚ+u,ɹ+r,d+d,eɪ+ay,,,,,,,,,0.856233333333333,0.3178,2.59455,1.9085,s+s,æ+a,t+t,ɚɹ+ur,d+d,eɪ+ay,,,,,,
772,blank,5,5,1,1,JJ|NN,1,2.695481676,1,1.55,1,1.6,0.57946497,4,0.81126,0.4687,0.70952,0.0841,2.67428,1.9777,2.78148,2.1461,2.95524,2.3945,b+b,l+l,æ+a,ŋ+n,k+k,,,,,,,,,,,1,1,1.6835,1.3802,bl+bl,æŋk+ank,,,,,,,,,,
2473,drift,5,5,1,1,NN|VB,1,2.515873844,1,1.8,1,1.65,0.56834584,1,0.86584,0.7099,0.9638,0.819,2.86156,1.6812,2.92782,1.7993,2.87888,1.6812,d+d,ɹ+r,ɪ+i,f+f,t+t,,,,,,,,,,,1,1,1.4518,0.9542,dɹ+dr,ɪft+ift,,,,,,,,,,
1832,council,7,6,1,2,NN,1,2.936513742,1,2.85,1,2.2,0.65821987,0,0.594033333333333,0.039,0.629666666666667,0.0497,2.58736666666667,2.0043,2.99113333333333,2.2989,2.93406666666667,2.3997,k+c,aʊ+ou,n+n,s+c,ə+i,l+l,,,,,,,,,,0.71995,0.442,2.020775,1.2041,k+c,aʊn+oun,s+c,əl+il,,,,,,,,
2812,face,4,3,1,1,NN|VB,1,4.168733129,1,1.2,1,1,0.68050081,10,0.5452,0.1791,0.734733333333333,0.5762,2.54733333333333,2.316,2.9013,2.8129,2.69403333333333,2.5172,f+f,eɪ+a_e,s+c,,,,,,,,,,,,,0.85,0.7,1.9944,1.3424,f+f,eɪs+a_ec,,,,,,,,,,
4999,merely,6,5,2,2,RB,1,2.900913068,1,2,1,1.85,0.65323716,0,0.70938,0.0069,0.80478,0.0714,2.59242,1.2304,3.06434,2.8089,2.821,2.3522,m+m,ɪ+e_e,ɹ+r,l+l,i+y,,,,,,,,,,,0.845275,0.4286,2.31475,0.6021,m+m,ɪɹ+e_er,l+l,i+y,,,,,,,,
5611,pain,4,3,1,1,NN|VB,1,3.69862243,1,1.15,1,1,0.62332815,11,0.7427,0.2481,0.911733333333333,0.7352,2.74543333333333,2.2095,2.9495,2.8129,2.78973333333333,2.3424,p+p,eɪ+ai,n+n,,,,,,,,,,,,,0.86905,0.7381,2.15155,1.5051,p+p,eɪn+ain,,,,,,,,,,
2784,explosive,9,8,3,3,JJ|NN,1,2.434568904,1,2.55,1,2.6,0.5934028,0,0.7001375,0.0504,0.676025,0.2378,2.47165,2.0719,2.7394875,2.0755,2.7017375,2.1931,ɪ+e,ks+x,p+p,l+l,oʊ+o,s+s,ɪ+i_e,v+v,,,,,,,,0.60358,0.2722,2.09046,1.7243,,ɪks+ex,pl+pl,oʊ+o,s+s,ɪv+i_ev,,,,,,
4799,machine,7,5,1,2,NN|VB,1,3.554368001,1,2.35,1,2.55,0.66544008,0,0.4698,0.0201,0.48346,0.0793,2.22122,1.0414,2.89212,2.6981,2.76286,2.0569,m+m,ə+a,ʃ+ch,i+i_e,n+n,,,,,,,,,,,0.426125,0.0901,2.01175,1.0414,m+m,ə+a,ʃ+ch,in+i_en,,,,,,,,
5995,poisonous,9,7,2,3,JJ,1,2.23299611,1,3.6,1,2.75,0.53648007,0,0.558885714285714,0.016,0.5575,0.164,2.36755714285714,1.301,2.82182857142857,1.6532,2.72025714285714,1.3617,p+p,ɔɪ+oi,z+s,ə+o,n+n,ə+ou,s+s,,,,,,,,,0.757283333333333,0.273,2.30563333333333,1.3222,p+p,ɔɪ+oi,z+s,ə+o,n+n,əs+ous,,,,,,
7913,stumble,7,7,1,2,VB,1,2.004321374,1,1.85,1,1.8,0.37297204,0,0.805085714285714,0.1168,0.919185714285714,0.4885,2.7706,2.4594,2.93572857142857,2.4594,2.81842857142857,2.4594,s+s,t+t,ʌ+u,m+m,b+b,ə+_e,l+l,,,,,,,,,0.988375,0.9535,2.237775,1.6232,st+st,ʌm+um,b+b,əl+_el,,,,,,,,
5656,parakeet,8,7,1,3,NN,1,1.748188027,1,2.85,1,3.2,0.3821559,0,0.508771428571429,0.1734,0.7388,0.084,2.56914285714286,2.1303,2.9622,2.734,2.81922857142857,2.238,p+p,ɛ+a,ɹ+r,ə+a,k+k,i+ee,t+t,,,,,,,,,0.736366666666667,0.0741,2.33093333333333,1.1761,p+p,ɛ+a,ɹ+r,ə+a,k+k,it+eet,,,,,,
2067,dachshund,9,8,1,2,NN,1,1.278753601,1,4.75,1,3.9,0.25556916,0,0.654975,0.0506,0.6943375,0.0374,2.283725,1.415,2.589025,1.9868,2.59325,1.5315,d+d,ɑ+a,k+ch,s+s,h+h,ʊ+u,n+n,d+d,,,,,,,,0.875,0.5,1.354,0.301,d+d,ɑks+achs,h+h,ʊnd+und,,,,,,,,
3136,football,8,6,2,2,NN,1,3.282168778,1,2.85,1,2.7,0.63301909,1,0.615416666666667,0.1263,0.730016666666667,0.0554,2.30831666666667,1.8808,2.63883333333333,2.1399,2.59785,2.0755,f+f,ʊ+oo,t+t,b+b,ɔ+a,l+ll,,,,,,,,,,0.901775,0.75,1.886125,0.8451,f+f,ʊt+oot,b+b,ɔl+all,,,,,,,,
8167,tea,3,2,1,1,NN,1,3.475816413,1,1.4,1,1,0.6218152,6,0.49955,0.0073,0.9,0.8,1.86835,0.9542,2.9137,2.786,1.91195,1.0414,t+t,i+ea,,,,,,,,,,,,,,0.9,0.8,1.7923,0.9542,t+t,i+ea,,,,,,,,,,
